unix_secs,unix_nsecs,sysuptime,exaddr,dpkts,doctets,first,last,engine_type,engine_id,srcaddr,dstaddr,nexthop,input,output,srcport,dstport,prot,tos,tcp_flags,src_mask,dst_mask,src_as,dst_as
1038744827,848375316,192385072,192.168.1.1,33,6939,192347368,192358996,0,0,192.168.1.3,208.85.40.20,10.1.0.1,2,1,1584,80,6,0,26,24,0,0,0
1038744827,848375316,192385072,192.168.1.1,27,18672,192347396,192358884,0,0,208.85.40.20,10.1.1.156,192.168.1.3,1,2,80,1581,6,0,26,0,24,0,0
1038744827,848375316,192385072,192.168.1.1,27,18672,192347396,192358884,0,0,208.85.40.20,192.168.1.3,192.168.1.3,1,2,80,1581,6,0,26,0,24,0,0
1038744827,848375316,192385072,192.168.1.1,47,49764,192347400,192358796,0,0,208.85.40.20,10.1.1.156,192.168.1.3,1,2,80,1582,6,0,26,0,24,0,0
1038744827,848375316,192385072,192.168.1.1,47,49764,192347400,192358796,0,0,208.85.40.20,192.168.1.3,192.168.1.3,1,2,80,1582,6,0,26,0,24,0,0
1038744827,848375316,192385072,192.168.1.1,33,30932,192347400,192358756,0,0,208.85.40.20,10.1.1.156,192.168.1.3,1,2,80,1584,6,0,26,0,24,0,0
1038744827,848375316,192385072,192.168.1.1,33,30932,192347400,192358756,0,0,208.85.40.20,192.168.1.3,192.168.1.3,1,2,80,1584,6,0,26,0,24,0,0
1038744827,848375316,192385072,192.168.1.1,159,13698,192347208,192359096,0,0,192.168.1.3,208.85.40.20,10.1.0.1,2,1,1579,80,6,0,26,24,0,0,0
1038744827,848375316,192385072,192.168.1.1,32,8288,192347360,192359096,0,0,192.168.1.3,208.85.40.20,10.1.0.1,2,1,1581,80,6,0,26,24,0,0,0
1038744827,848375316,192385072,192.168.1.1,46,7532,192347368,192359100,0,0,192.168.1.3,208.85.40.20,10.1.0.1,2,1,1582,80,6,0,26,24,0,0,0
1038744827,848375316,192385072,192.168.1.1,770,34096,192348040,192375516,0,0,192.168.1.3,208.85.40.20,10.1.0.1,2,1,1588,443,6,0,27,24,0,0,0
1038744827,848375316,192385072,192.168.1.1,18,2984,192348052,192375516,0,0,192.168.1.3,208.85.40.20,10.1.0.1,2,1,1589,443,6,0,27,24,0,0,0
1038744827,848375316,192385072,192.168.1.1,2,80,192375516,192375548,0,0,192.168.1.3,208.85.40.20,10.1.0.1,2,1,1580,80,6,0,17,24,0,0,0
1038744827,848375316,192385072,192.168.1.1,2,80,192375548,192375548,0,0,208.85.40.20,10.1.1.156,192.168.1.3,1,2,80,1580,6,0,17,0,24,0,0
1038744827,848375316,192385072,192.168.1.1,2,80,192375548,192375548,0,0,208.85.40.20,192.168.1.3,192.168.1.3,1,2,80,1580,6,0,17,0,24,0,0
1038744827,848375316,192385072,192.168.1.1,1,76,192364720,192364720,0,0,192.168.1.7,75.101.232.27,10.1.0.1,2,1,61854,80,6,0,24,24,0,0,0
1038744827,848375316,192385072,192.168.1.1,1,52,192364784,192364784,0,0,75.101.232.27,10.1.1.156,192.168.1.7,1,2,80,61854,6,0,16,0,24,0,0
1038744827,848375316,192385072,192.168.1.1,1,52,192364784,192364784,0,0,75.101.232.27,192.168.1.7,192.168.1.7,1,2,80,61854,6,0,16,0,24,0,0
1038744827,848375316,192385072,192.168.1.1,34,8571,192347368,192364832,0,0,192.168.1.3,208.85.40.20,10.1.0.1,2,1,1583,80,6,0,26,24,0,0,0
1038744827,848375316,192385072,192.168.1.1,26,19686,192347400,192364692,0,0,208.85.40.20,10.1.1.156,192.168.1.3,1,2,80,1583,6,0,26,0,24,0,0
1038744827,848375316,192385072,192.168.1.1,26,19686,192347400,192364692,0,0,208.85.40.20,192.168.1.3,192.168.1.3,1,2,80,1583,6,0,26,0,24,0,0
1038744827,848375316,192385072,192.168.1.1,1,77,192369656,192369656,0,0,192.168.1.7,205.188.6.203,10.1.0.1,2,1,61881,5190,6,0,24,24,0,0,0
1038744827,848375316,192385072,192.168.1.1,1,40,192369712,192369712,0,0,205.188.6.203,10.1.1.156,192.168.1.7,1,2,5190,61881,6,0,16,0,24,0,0
1038744827,848375316,192385072,192.168.1.1,1,40,192369712,192369712,0,0,205.188.6.203,192.168.1.7,192.168.1.7,1,2,5190,61881,6,0,16,0,24,0,0
1038744839,848375316,192397072,192.168.1.1,1,229,192370324,192370324,0,0,10.1.0.130,10.1.255.255,0.0.0.0,1,0,138,138,17,0,16,16,16,0,0
1038744839,848375316,192397072,192.168.1.1,2,104,192384512,192384564,0,0,192.168.1.7,72.246.94.125,10.1.0.1,2,1,63179,80,6,0,17,24,0,0,0
1038744839,848375316,192397072,192.168.1.1,1,52,192384564,192384564,0,0,72.246.94.125,10.1.1.156,192.168.1.7,1,2,80,63179,6,0,17,0,24,0,0
1038744839,848375316,192397072,192.168.1.1,1,52,192384564,192384564,0,0,72.246.94.125,192.168.1.7,192.168.1.7,1,2,80,63179,6,0,17,0,24,0,0
1038744839,848375316,192397072,192.168.1.1,10,5760,192325072,192374072,0,0,192.168.1.8,192.168.1.1,0.0.0.0,2,0,0,771,1,192,16,24,24,0,0
1038744839,848375316,192397072,192.168.1.1,5,595,192388384,192388456,0,0,138.108.29.10,10.1.1.156,192.168.1.3,1,2,80,1624,6,0,27,0,24,0,0
1038744839,848375316,192397072,192.168.1.1,5,595,192388384,192388456,0,0,138.108.29.10,192.168.1.3,192.168.1.3,1,2,80,1624,6,0,27,0,24,0,0
1038744839,848375316,192397072,192.168.1.1,5,810,192388348,192388424,0,0,192.168.1.3,138.108.29.10,10.1.0.1,2,1,1624,80,6,0,27,24,0,0,0
1038744839,848375316,192397072,192.168.1.1,1,40,192375548,192375548,0,0,208.85.40.20,10.1.1.156,192.168.1.3,1,2,443,1589,6,0,16,0,24,0,0
1038744839,848375316,192397072,192.168.1.1,1,40,192375548,192375548,0,0,208.85.40.20,192.168.1.3,192.168.1.3,1,2,443,1589,6,0,16,0,24,0,0
1038744839,848375316,192397072,192.168.1.1,1,40,192375548,192375548,0,0,208.85.40.20,10.1.1.156,192.168.1.3,1,2,443,1588,6,0,16,0,24,0,0
1038744839,848375316,192397072,192.168.1.1,1,40,192375548,192375548,0,0,208.85.40.20,192.168.1.3,192.168.1.3,1,2,443,1588,6,0,16,0,24,0,0
1038744839,848375316,192397072,192.168.1.1,2,80,192390644,192390676,0,0,192.168.1.3,208.85.40.20,10.1.0.1,2,1,1583,80,6,0,17,24,0,0,0
1038744839,848375316,192397072,192.168.1.1,2,80,192390676,192390676,0,0,208.85.40.20,10.1.1.156,192.168.1.3,1,2,80,1583,6,0,17,0,24,0,0
